signal	freq
0.000005	0.000007
0.030680	0.000000
0.061327	0.000000
0.091916	0.000000
0.122418	0.000000
0.152805	0.000000
0.183049	0.000000
0.213120	0.000000
0.242990	0.000000
0.272632	0.000000
0.302017	0.000000
0.331118	0.000000
0.359907	0.000000
0.388357	0.000000
0.416442	0.000000
0.444135	0.000000
0.471410	0.000000
0.498241	0.000000
0.524604	0.000000
0.550472	0.000000
0.575823	0.000000
0.600631	0.000000
0.624874	0.000000
0.648529	0.000000
0.671574	0.000000
0.693986	0.000000
0.715746	0.000000
0.736832	0.000000
0.757224	0.000000
0.776903	0.000000
0.795851	0.000000
0.814051	0.000000
0.831484	0.000000
0.848134	0.000000
0.863986	0.000000
0.879025	0.000000
0.893237	0.000000
0.906608	0.000000
0.919126	0.000000
0.930779	0.000000
0.941555	0.000000
0.951446	0.000000
0.960441	0.000000
0.968532	0.000000
0.975711	0.000000
0.981972	0.000000
0.987309	0.000000
0.991717	0.000000
0.995191	0.000000
0.997729	0.000000
0.999328	0.707107
0.999986	0.000000
0.999703	0.000000
0.998479	0.000000
0.996316	0.000000
0.993214	0.000000
0.989178	0.000000
0.984211	0.000000
0.978318	0.000000
0.971504	0.000000
0.963776	0.000000
0.955140	0.000000
0.945606	0.000000
0.935182	0.000000
0.923877	0.000000
0.911703	0.000000
0.898671	0.000000
0.884794	0.000000
0.870083	0.000000
0.854554	0.000000
0.838220	0.000000
0.821098	0.000000
0.803203	0.000000
0.784552	0.000000
0.765162	0.000000
0.745053	0.000000
0.724242	0.000000
0.702750	0.000000
0.680596	0.000000
0.657802	0.000000
0.634389	0.000000
0.610378	0.000000
0.585794	0.000000
0.560657	0.000000
0.534994	0.000000
0.508827	0.000000
0.482181	0.000000
0.455081	0.000000
0.427553	0.000000
0.399622	0.000000
0.371316	0.000000
0.342660	0.000000
0.313681	0.000000
0.284408	0.000000
0.254866	0.000000
0.225085	0.000000
0.195092	0.000000
0.164915	0.000000
0.134584	0.000000
0.104125	0.000000
0.073569	0.000000
0.042943	0.000007
0.012277	0.000000
-0.018401	0.000000
-0.049061	0.000000
-0.079675	0.000000
-0.110214	0.000000
-0.140650	0.000000
-0.170953	0.000000
-0.201095	0.000000
-0.231048	0.000000
-0.260784	0.000000
-0.290274	0.000000
-0.319490	0.000000
-0.348407	0.000000
-0.376995	0.000000
-0.405228	0.000000
-0.433081	0.000000
-0.460525	0.000000
-0.487536	0.000000
-0.514089	0.000000
-0.540157	0.000000
-0.565717	0.000000
-0.590745	0.000000
-0.615217	0.000000
-0.639110	0.000000
-0.662401	0.000000
-0.685069	0.000000
-0.707092	0.000000
-0.728449	0.000000
-0.749122	0.000000
-0.769089	0.000000
-0.788332	0.000000
-0.806833	0.000000
-0.824575	0.000000
-0.841541	0.000000
-0.857715	0.000000
-0.873082	0.000000
-0.887627	0.000000
-0.901337	0.000000
-0.914198	0.000000
-0.926199	0.000000
-0.937328	0.000000
-0.947575	0.000000
-0.956931	0.000000
-0.965385	0.000000
-0.972931	0.000000
-0.979562	0.000000
-0.985270	0.000000
-0.990051	0.000000
-0.993901	0.000000
-0.996815	0.000000
-0.998790	0.000000
-0.999826	0.000000
-0.999921	0.000000
-0.999075	0.000000
-0.997288	0.000000
-0.994563	0.000000
-0.990901	0.000000
-0.986307	0.000000
-0.980785	0.000000
-0.974340	0.000000
-0.966977	0.000000
-0.958705	0.000000
-0.949530	0.000000
-0.939461	0.000000
-0.928509	0.000000
-0.916682	0.000000
-0.903993	0.000000
-0.890452	0.000000
-0.876074	0.000000
-0.860871	0.000000
-0.844858	0.000000
-0.828050	0.000000
-0.810462	0.000000
-0.792111	0.000000
-0.773015	0.000000
-0.753192	0.000000
-0.732659	0.000000
-0.711437	0.000000
-0.689545	0.000000
-0.667005	0.000000
-0.643836	0.000000
-0.620062	0.000000
-0.595703	0.000000
-0.570785	0.000000
-0.545329	0.000000
-0.519359	0.000000
-0.492901	0.000000
-0.465979	0.000000
-0.438618	0.000000
-0.410845	0.000000
-0.382685	0.000000
-0.354164	0.000000
-0.325310	0.000000
-0.296151	0.000000
-0.266712	0.000000
-0.237022	0.000000
-0.207109	0.000000
-0.177002	0.000000
-0.146727	0.000000
-0.116315	0.000000
-0.085793	0.000000
-0.055190	0.000000
-0.024535	0.000000
0.006142	0.000000
0.036814	0.000000
0.067452	0.000000
0.098025	0.000000
0.128507	0.000000
0.158867	0.000000
0.189079	0.000000
0.219112	0.000000
0.248939	0.000000
0.278531	0.000000
0.307862	0.000000
0.336902	0.000000
0.365626	0.000000
0.394005	0.000000
0.422014	0.000000
0.449625	0.000000
0.476813	0.000000
0.503553	0.000000
0.529818	0.000000
0.555585	0.000000
0.580829	0.000000
0.605526	0.000000
0.629653	0.000000
0.653188	0.000000
0.676108	0.000000
0.698391	0.000000
0.720017	0.000000
0.740966	0.000000
0.761217	0.000000
0.780752	0.000000
0.799551	0.000000
0.817599	0.000000
0.834876	0.000000
0.851368	0.000000
0.867059	0.000000
0.881934	0.000000
0.895978	0.000000
0.909180	0.000000
0.921525	0.000000
0.933003	0.000000
0.943603	0.000000
0.953316	0.000000
0.962130	0.000000
0.970040	0.000000
0.977036	0.000000
0.983113	0.000000
0.988264	0.000000
0.992485	0.000000
0.995773	0.000000
0.998123	0.000000
0.999533	0.000000
1.000003	0.000000
0.999532	0.000000
0.998120	0.000000
0.995769	0.000000
0.992481	0.000000
0.988258	0.000000
0.983105	0.000000
0.977028	0.000000
0.970030	0.000000
0.962120	0.000000
0.953304	0.000000
0.943591	0.000000
0.932990	0.000000
0.921511	0.000000
0.909164	0.000000
0.895962	0.000000
0.881917	0.000000
0.867042	0.000000
0.851351	0.000000
0.834858	0.000000
0.817580	0.000000
0.799532	0.000000
0.780732	0.000000
0.761197	0.000000
0.740946	0.000000
0.719998	0.000000
0.698371	0.000000
0.676088	0.000000
0.653168	0.000000
0.629634	0.000000
0.605507	0.000000
0.580810	0.000000
0.555567	0.000000
0.529801	0.000000
0.503536	0.000000
0.476797	0.000000
0.449609	0.000000
0.421999	0.000000
0.393991	0.000000
0.365613	0.000000
0.336890	0.000000
0.307850	0.000000
0.278521	0.000000
0.248929	0.000000
0.219104	0.000000
0.189072	0.000000
0.158862	0.000000
0.128502	0.000000
0.098022	0.000000
0.067449	0.000000
0.036813	0.000000
0.006143	0.000000
-0.024534	0.000000
-0.055187	0.000000
-0.085789	0.000000
-0.116310	0.000000
-0.146721	0.000000
-0.176994	0.000000
-0.207101	0.000000
-0.237012	0.000000
-0.266701	0.000000
-0.296139	0.000000
-0.325298	0.000000
-0.354151	0.000000
-0.382670	0.000000
-0.410830	0.000000
-0.438602	0.000000
-0.465962	0.000000
-0.492884	0.000000
-0.519341	0.000000
-0.545310	0.000000
-0.570766	0.000000
-0.595684	0.000000
-0.620042	0.000000
-0.643817	0.000000
-0.666985	0.000000
-0.689526	0.000000
-0.711417	0.000000
-0.732640	0.000000
-0.753172	0.000000
-0.772996	0.000000
-0.792093	0.000000
-0.810444	0.000000
-0.828032	0.000000
-0.844841	0.000000
-0.860854	0.000000
-0.876058	0.000000
-0.890437	0.000000
-0.903978	0.000000
-0.916668	0.000000
-0.928496	0.000000
-0.939450	0.000000
-0.949519	0.000000
-0.958695	0.000000
-0.966969	0.000000
-0.974332	0.000000
-0.980779	0.000000
-0.986302	0.000000
-0.990897	0.000000
-0.994560	0.000000
-0.997286	0.000000
-0.999074	0.000000
-0.999922	0.000000
-0.999828	0.000000
-0.998794	0.000000
-0.996819	0.000000
-0.993906	0.000000
-0.990058	0.000000
-0.985278	0.000000
-0.979571	0.000000
-0.972941	0.000000
-0.965396	0.000000
-0.956943	0.000000
-0.947588	0.000000
-0.937342	0.000000
-0.926214	0.000000
-0.914213	0.000000
-0.901353	0.000000
-0.887644	0.000000
-0.873099	0.000000
-0.857733	0.000000
-0.841560	0.000000
-0.824594	0.000000
-0.806853	0.000000
-0.788351	0.000000
-0.769108	0.000000
-0.749141	0.000000
-0.728469	0.000000
-0.707112	0.000000
-0.685088	0.000000
-0.662420	0.000000
-0.639129	0.000000
-0.615235	0.000000
-0.590763	0.000000
-0.565735	0.000000
-0.540174	0.000000
-0.514105	0.000000
-0.487552	0.000000
-0.460540	0.000000
-0.433095	0.000000
-0.405242	0.000000
-0.377007	0.000000
-0.348418	0.000000
-0.319501	0.000000
-0.290283	0.000000
-0.260792	0.000000
-0.231055	0.000000
-0.201101	0.000000
-0.170958	0.000000
-0.140654	0.000000
-0.110217	0.000000
-0.079677	0.000000
-0.049061	0.000000
-0.018400	0.000000
0.012279	0.000000
0.042947	0.000000
0.073573	0.000000
0.104131	0.000000
0.134591	0.000000
0.164924	0.000000
0.195101	0.000000
